Date,Open,High,Low,Close,WeightedPrice,Volume,SMA_30,EMA_40,Altcoin_EMA_40,DASH,DOGE,ETC,ETH,LTC,SC,XEM,XMR,XRP,ZEC,CLF,CNYUSDX,DJI,EURUSDX,GCF,GSPC,IXIC,JPYUSDX,TSLA,VIX,XWDTO,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8,SMA_05,SMA_90,EMA_05,EMA_90,MACD,Avg_Dir_Mvmt,RSI,Awesome_Osc,ROC,Stoch_RSI,Ultimate_Osc,True_SI,Cum_Return,Log_Return,Number_of_Transactions,Active_Addresses,New_Addresses,Hash_Rate,sentiment_elon,sentiment_bitcoin
2020-08-18,12311.153217056666,12387.135299998334,11822.870333336668,11957.431666666664,12093.943339756966,16856.92732952,10969.331688665394,10830.38244125638,49.751906390019336,94.51682786773544,0.0035072435685295,7.403549294299022,425.3414475311512,65.80217819615048,0.003628183001927,0.0759499641736737,93.05442823909202,0.3071861608298269,84.73089267493769,42.8899993896,0.1442626715,27778.0703125,1.1876484156,1999.4000244141,3389.7800292969,11210.83984375,0.0094344066,377.4179992676,21.5100002289,56.6188316345,36.2736928016,2471.6857142857,-0.1935848571428571,11911.82211008975,9875.903519451578,11930.312918096319,10033.821062118994,467.23488865985564,34.99484446065123,65.2940373560497,1159.1240453945884,3.108634213778529,0.35968625043340796,61.68154533257243,34.659534709569265,1334.6970154902974,-1.9731334830193958,346036.0,1021120.0,542750.0,117306995.7,neutral,positive
2020-08-19,11957.932922403334,12067.735540775,11585.298343278337,11779.12,11808.94535420205,17249.89348025,11056.798823259502,10878.117217497633,50.09170060479037,89.6848068342906,0.0033065046991765,6.983219835207382,408.1171514412228,62.289588775437885,0.0035426836062606,0.0719164772070904,91.7540883287074,0.2916809502487906,78.95378201202011,42.9300003052,0.1444919556,27692.880859375,1.1947859526,1958.6999511719,3374.8500976562,11146.4599609375,0.009503535,375.7059936523,22.5400009155,56.5889282227,35.7029331772,2419.4130434783,-0.1913079285714286,11933.071780578786,9905.289965513079,11889.857063464897,10072.834782824117,439.7258259957689,34.64708283079606,60.94897607923862,1102.715848687074,2.7081499663818867,0.0,56.860866523901,32.72700737295732,1313.302520156746,-1.5024509325241908,333879.0,984468.0,510797.0,117105843.1,neutral,positive
2020-08-20,11770.331466666668,11961.309765481668,11468.793080396666,11877.070567896668,11738.263526971432,8515.33689948,11136.931367335896,10920.07557405733,50.454209804205625,89.43030833293724,0.0034040964228217,6.879209339981608,409.6074100694797,62.33475725099383,0.0035214790580914,0.0718381727850651,95.41388816581096,0.2889960480340367,77.75320115894134,42.5800018311,0.1445253789,27739.73046875,1.1843500137,1933.8000488281,3385.5100097656,11264.9501953125,0.0094269365,400.3659973145,22.7199993134,56.4892463684,36.8890545575,2285.5,-0.189031,11912.184868181846,9933.87858928236,11839.325884633741,10109.437612365817,420.9757415641416,33.84512976907339,62.42807660898928,1011.276120615641,1.8282208151041688,0.13847234874261155,57.02879315871819,31.562526709115396,1325.0549927064053,0.8281225786694435,333683.0,1004719.0,517589.0,127666677.5,neutral,positive
2020-08-21,11787.253262283331,11853.701302311663,11400.598333333332,11440.854404038331,11673.390538955531,11798.09998298,11212.73169433364,10956.822645515778,50.73890705546413,91.13310933247732,0.0033852832562971,6.8072209588865285,403.20661365327976,61.01447766901277,0.0037354849724657,0.0772778453678856,99.88068126674904,0.2855311325828523,76.57895947631835,42.3400001526,0.144617334,27930.330078125,1.1873664856,1934.5999755859,3397.1599121094,11311.7998046875,0.0094638718,409.9960021973,22.5400009155,56.5689926147,41.3250231761,2027.7225806452,-0.1861404464285714,11886.152289632912,9961.395140771465,11784.014102741006,10143.810204158997,366.6901895043484,32.82307004144617,52.83110068697806,910.2166486079386,0.5261065345290048,0.0,50.84990417834876,27.393261043335677,1272.7161589298503,-3.7419029502984813,314297.0,1098887.0,492583.0,134077692.3,neutral,positive
2020-08-22,11551.884411781668,11683.554179955,11315.359468896668,11670.009998585,11540.6999312181,7046.572079560001,11279.480665579147,10985.304464330526,50.9282638458356,87.68058313442883,0.0033468029800532,6.664292582281204,388.8876580242522,59.2242176860271,0.0035776169786776,0.0798616435240292,91.77937812200024,0.2791695313361659,74.93399546739775,42.3400001526,0.144617334,27930.330078125,1.1873664856,1934.5999755859,3397.1599121094,11311.7998046875,0.0094638718,409.9960021973,22.5400009155,56.5689926147,41.3250231761,2027.7225806452,-0.1861404464285714,11771.048538220815,9989.361499569473,11702.909378900038,10174.511077281175,338.26018686288626,31.527069908365853,56.605137729627295,732.293176872121,1.2835650102779168,0.20075269351469407,54.479826458795706,25.08602072257372,1300.2110973701433,1.983163424437251,311699.0,963973.0,471849.0,115192008.4,positive,positive
2020-08-23,11672.800956823332,11737.825228618332,11543.490080185,11666.946712885,11629.8854965615,3584.32016114,11348.82153293768,11016.747441512523,51.13570183646114,90.19906593423168,0.0033726667940028,6.747892162814914,390.9725602325648,59.72341618591214,0.0039541610688309,0.0902479114533172,91.99762772627491,0.2834203095512038,79.30651517815218,42.3400001526,0.144617334,27930.330078125,1.1873664856,1934.5999755859,3397.1599121094,11311.7998046875,0.0094638718,409.9960021973,22.5400009155,56.5689926147,41.3250231761,2027.7225806452,-0.1861404464285714,11678.236969581721,10020.634644018715,11678.568084787192,10206.497328254369,311.8867866536166,30.48883613399428,56.54001268402021,567.177441583317,-0.31610815555138366,0.197288491077584,55.102558564770995,23.248019220169954,1299.8435529865417,-0.02625265800908494,288728.0,926956.0,425921.0,132164157.2,positive,positive
2020-08-24,11627.186712886663,11818.971006011669,11583.579344525,11765.215924936669,11715.45018007015,5915.137293129999,11417.896379565993,11050.83050192997,51.432268835217926,91.3055325233947,0.0033974805522203,6.82401542088726,403.4044223934527,61.72015472015817,0.0042175620648252,0.0944265284513654,92.85185479266217,0.2870285294117187,80.75202069218392,42.6199989319,0.144539997,28308.4609375,1.1798018217,1927.6999511719,3431.2800292969,11379.7197265625,0.0094449222,402.8399963379,22.3700008392,57.3365364075,35.989977151,2208.9463087248,-0.1774687857142857,11659.537934755343,10052.460983111987,11690.862116548178,10239.661127195375,295.50874030969317,29.77272726475524,58.20139149327172,471.6217485725829,-0.25473199170159033,0.28566236423685554,53.99595949775554,22.204284989455232,1311.6342576441425,0.8387598676911523,329133.0,943490.0,494643.0,131835062.1,positive,positive
2020-08-25,11765.044636196666,11795.503333333334,11133.146422966667,11422.122143986666,11462.343567637516,14151.60419229,11470.655762154933,11070.904310013264,51.61049186433873,86.69566482069771,0.0032094561989385,6.570903073583883,385.7421334582697,59.10580385339421,0.0037825733773203,0.0930742297692166,89.44078148171123,0.2792226893076499,74.35679584044296,43.3499984741,0.1445316523,28248.439453125,1.1794538498,1911.8000488281,3443.6201171875,11466.4697265625,0.0094345855,404.6679992676,22.0300006866,57.3166007996,33.6188350097,2378.1953125,-0.1745782321428571,11604.35394288856,10079.234654565604,11614.689266911291,10266.533268743555,251.9400121831477,27.90536506554569,50.887180037339824,361.0297520220993,-3.001062496319132,0.0,56.29261641056042,18.994087982388063,1270.4685928689519,-2.9595361238463624,304409.0,959916.0,491264.0,112154365.6,neutral,positive
2020-08-26,11401.665153901668,11572.913828600002,11262.075434243334,11447.426666666668,11401.07798086765,8413.19031787,11500.64098010858,11087.010342737867,51.75035250412953,85.7934538383685,0.0031923018346429,6.474786196114548,385.2574743964527,58.12873811779315,0.0039903772933036,0.0944009256815841,89.03956876108113,0.2769321841552752,75.43603053586948,43.3899993896,0.1446780115,28331.919921875,1.1835019588,1940.6999511719,3478.7299804688,11665.0595703125,0.0093980543,430.6340026855,23.2700004578,57.6654815674,34.9969393253,2282.985915493,-0.1716876785714285,11549.891431270984,10101.808941110314,11543.485504896744,10291.468317361667,216.95245193103074,26.171385880565396,51.3725640872353,264.14285641990136,-2.9393369258540787,0.02339949610501055,57.66452170567462,16.554826427407594,1273.5047233842204,0.22129455387265295,324184.0,1039702.0,504027.0,125893343.9,neutral,positive
2020-08-27,11416.94075959167,11605.964922208334,11159.868699998337,11391.514789431669,11359.083891231816,14268.07603556,11519.175549311813,11100.282223152206,51.85248919690761,83.7055435578429,0.0031805434895449,6.561801991447883,383.5615042101913,56.64036796104377,0.0039756793619311,0.0929173062302762,88.32096652452822,0.2673928347995969,72.90987022761618,43.0400009155,0.1452453882,28492.26953125,1.1842728853,1921.5999755859,3484.5500488281,11625.33984375,0.0094467951,447.75,24.4699993134,57.4960250854,32.1632212566,2543.8527131783,-0.168797125,11513.568223273727,10123.42909693592,11482.01830034177,10314.932395908263,182.6079464050017,24.905448072786424,50.19219606526432,187.08912438819607,-6.594088938500491,0.0,53.66551644352946,14.20243393335681,1266.796208910905,-0.48961979292450053,328157.0,958992.0,505102.0,112414794.6,positive,positive
