"DateTime","Price"
"2019-08-26 00:00:00",9845.5
"2019-09-02 00:00:00",10469.8
"2019-09-09 00:00:00",10247.79
"2019-09-16 00:00:00",10131.12
"2019-09-23 00:00:00",8544.23
"2019-09-30 00:00:00",8186.08
"2019-10-07 00:00:00",8362.3
"2019-10-14 00:00:00",8121.82
"2019-10-21 00:00:00",8382.08
"2019-10-28 00:00:00",9297.53
"2019-11-04 00:00:00",9149.22
"2019-11-11 00:00:00",8664.84
"2019-11-18 00:00:00",7712.5
"2019-11-25 00:00:00",7384.94
"2019-12-02 00:00:00",7424.7
"2019-12-09 00:00:00",7247.74
"2019-12-16 00:00:00",7089.19
"2019-12-23 00:00:00",7313.15
"2019-12-30 00:00:00",7251.52
"2020-01-06 00:00:00",7969.01
"2020-01-13 00:00:00",8661.38
"2020-01-20 00:00:00",8515.54
"2020-01-27 00:00:00",9242.04
"2020-02-03 00:00:00",9628.43
"2020-02-10 00:00:00",10120.51
"2020-02-17 00:00:00",9743.1
"2020-02-24 00:00:00",8996.16
"2020-03-02 00:00:00",8849.42
"2020-03-09 00:00:00",6561.87
"2020-03-16 00:00:00",5687.18
"2020-03-23 00:00:00",6441.13
"2020-03-30 00:00:00",6645.2
"2020-04-06 00:00:00",7112.51
"2020-04-13 00:00:00",6955.44
"2020-04-20 00:00:00",7276.17
"2020-04-27 00:00:00",8490.68
"2020-05-04 00:00:00",9274.32
"2020-05-11 00:00:00",9239.1
"2020-05-18 00:00:00",9353.31
"2020-05-25 00:00:00",9231.05
"2020-06-01 00:00:00",9694.27
"2020-06-08 00:00:00",9577.49
"2020-06-15 00:00:00",9347.11
"2020-06-22 00:00:00",9292.1
"2020-06-29 00:00:00",9118.68
"2020-07-06 00:00:00",9270.99
"2020-07-13 00:00:00",9182.38
"2020-07-20 00:00:00",9510.08
"2020-07-27 00:00:00",11127.91
"2020-08-03 00:00:00",11512.79
"2020-08-10 00:00:00",11679.56
"2020-08-17 00:00:00",11811.59
"2020-08-24 00:00:00",11492.92
"2020-08-31 00:00:00",10936.76
"2020-09-07 00:00:00",10275.65
"2020-09-14 00:00:00",10853.31
"2020-09-21 00:00:00",10585.88
"2020-09-28 00:00:00",10671.64
"2020-10-05 00:00:00",10907.52
