Date,WeightedPrice_return,DASH_return,DOGE_return,ETC_return,ETH_return,LTC_return,SC_return,XEM_return,XMR_return,XRP_return,ZEC_return,CLF_return,CNYUSDX_return,DJI_return,EURUSDX_return,GCF_return,GSPC_return,IXIC_return,JPYUSDX_return,TSLA_return,VIX_return,XWDTO_return,Volume,SMA_30,EMA_40,Altcoin_EMA_40,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8,SMA_05,SMA_90,EMA_05,EMA_90,MACD,Avg_Dir_Mvmt,RSI,Awesome_Osc,ROC,Stoch_RSI,Ultimate_Osc,True_SI,Cum_Return,Log_Return,Number_of_Transactions,Active_Addresses,New_Addresses,Hash_Rate,sentiment_elon,sentiment_bitcoin
2016-08-05,-0.002931337086957031,0.025525240918126135,-0.002931337086712893,0.019010447284896426,0.006426955978421134,-0.007787691595356305,-0.0029313370868112587,-0.021118211839663337,0.02234888788687428,0.02390899581300765,0.0,-0.00310043088847467,-0.0011900269522242546,0.010433630437674646,-0.0015032241590759998,-0.016485151316648072,0.008603496447961101,0.010620879203968148,0.0013636514720618553,-0.0025150931216204597,-0.08293073483674585,0.020740673536581822,14216.92299336708,644.5755009313472,632.5200717263094,3.0710996818282057,5.4448556982,1350.5562130177,0.0048394821428571,577.9799433882597,596.8461103185849,581.7318033885657,598.0447291643461,-23.48002942389462,30.08868447509374,33.502654128724984,-75.05694740648846,-13.713199199731504,0.28246078744136577,46.82811147371826,-22.034556658372527,-32.0842767137634,-0.6841064455807455,228244.0,478244.0,246433.0,1710044.207,neutral,positive
2016-08-06,0.0055067685258729515,0.06933387235532318,0.05985848574339059,0.08697440974179949,-0.02567959012152876,-0.0018653109120024824,-0.004967260312930488,-0.0109769489909326,0.010271100890258511,0.09922390423312888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15844.79384954708,642.4244388594041,629.5229304666076,3.0701063305347627,5.4448556982,1350.5562130177,0.0048394821428571,568.2873655305777,598.1125611072558,578.180760893185,597.452068653095,-23.74789731905753,31.580386199366682,38.244709091124214,-81.32839663741004,-12.064179533975086,0.4858392664610875,49.17777437297554,-22.41494275675683,-30.287280686283058,2.6115214592397074,195669.0,426155.0,214642.0,1678620.993,neutral,positive
2016-08-07,0.03477465035907068,0.024480211438650645,0.1409053837294001,-0.14236865425533018,0.037963051875576914,0.023173469480692654,0.012989920877757966,-0.026162079050961795,0.05821443599634257,-0.040581940519651805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13280.107636647495,640.3822175621616,627.6407259162586,3.071190032531929,5.4448556982,1350.5562130177,0.0048394821428571,572.0789049801014,599.5748043216583,582.4330863236072,597.308896532905,-22.57157640440107,31.818788031085838,42.376717616763514,-73.5339263210742,-8.666558760162863,0.672476276927497,51.45915248101009,-21.45982690725657,-28.60939110429794,2.3783544938776657,192414.0,449172.0,193997.0,1499898.057,neutral,positive
2016-08-08,0.010052368754800645,-0.001210876412337969,-0.06041640115828384,-0.032430386492617314,0.021609962536702776,0.00991145014159267,-0.022529965721237777,0.021977426237144826,0.014654080534324265,-0.012199742817375014,0.0,0.029186632606853502,-0.005244473951901418,-0.0007679354963674445,-0.004058777097555644,-0.0022448368341770886,-0.0009071655678494217,-0.001528403922834598,-0.009261266934969536,-0.016823937453196214,0.009657563949478254,-0.0009675828010351495,12559.80122096708,638.577886535939,626.1401081266731,3.0734283287695927,4.8847888313,1589.8310810811,0.0137794285714285,579.2932852715958,601.093119809006,587.2480779589905,597.2994276251435,-22.353371764964777,31.835511493065557,39.90087563825109,-61.51811585196731,-11.18312804442176,0.5647827853126002,50.31120590286938,-21.397069697703923,-30.05427234584641,-2.044671051597735,235295.0,532467.0,243511.0,1484889.117,positive,positive
2016-08-09,-0.000221656566492201,0.013034892336627024,-0.025216115152549734,-0.09851495484207529,0.07697353745622793,-0.008980669756693982,-0.011330304826715487,0.1246048110500464,0.03823194700842891,0.028175573560409894,0.0,-0.005811250519284328,0.0019968737787023905,0.00020301473722561525,-0.0005320025728338118,0.004199771623943471,0.0003897939364994052,0.002367065420529224,-0.0013981300030362354,0.012911289984858687,0.01391303020869561,0.001936841261692246,13535.102927397082,636.8087948238178,624.7062374516203,3.0795791914728032,4.23,1869.63,0.0167594107142857,584.7182668523626,602.6761217098236,590.4139717353571,597.2872590902632,-21.241650316461005,31.777154447173388,42.48515152304627,-52.78896896705771,-9.42714439591637,0.6771929050800128,52.34268847171823,-20.571814686230233,-29.02243615435064,1.4644202820567997,231400.0,492713.0,251990.0,1240435.234,positive,positive
2016-08-10,-0.0009716080349766454,-0.008658302899234305,0.024644504579706572,-0.08502864115468789,0.019837741265067876,0.004054804817761104,-0.04587176048302777,0.001101064977401034,-0.0018194013285128818,-0.004777430480550127,0.0,-0.02478375875506189,0.0007813768030868751,-0.002017510524377819,0.0029012745086489655,0.003958214210679545,-0.0028646859974036376,-0.00399961389612391,0.0036599159141466053,-0.014972952585770805,0.03344771427136539,-0.006041399357536448,29654.62795680042,635.4371095410784,623.3140286156157,3.0854017028000165,4.73,1615.66,0.0197393928571428,590.36123798365,604.2686659626311,592.3312999280806,597.2626150731921,-20.141081744368876,31.825334058878394,42.44930998114868,-45.62228334522649,-5.382678619394579,0.7086050467879617,45.469239861797234,-19.91212162286712,-29.041249732087635,-0.02650988644399277,244740.0,533284.0,262728.0,1542908.277,neutral,positive
2016-08-11,-0.0032093096540748434,0.03810229586183178,-0.003209309654028436,-0.009750284739706183,-0.03410945347807459,-0.035662660889199116,0.09060628473146837,-0.017655551543139913,-0.02158110220083076,-0.005115219195858001,0.0,0.04267568048596471,0.002409835825561313,0.0063722718737440065,0.006353936630365542,-0.001339023106983639,0.004734588012050622,0.0045767043375728456,0.007732403406488508,-0.0032794730998714217,-0.03070538420286173,0.00048636124454781715,20413.31028172,632.7512421769901,621.8964016175124,3.0901647869025566,4.549926098,1696.7666666667,0.022719375,594.9960378340653,605.8118792369091,592.9717583368871,597.1964625475066,-19.177840301883975,31.87007226974733,42.05661196007714,-39.01777247279506,-3.438450413504605,0.690689994902024,41.76471540355645,-19.468357183210983,-29.2346075004435,-0.2728651372323476,254515.0,533906.0,270320.0,1506021.517,positive,positive
2016-08-12,-0.007711093988723605,0.11338547103438623,-0.007711093988863604,0.0773892907345779,9.725141209981913e-05,0.02774099714440803,-0.03972041353750755,0.15176390876309132,-0.015618124151915547,-0.012463435492601427,0.0,0.02299379078880026,0.001992189646095488,-0.0019904257259245606,-0.00423290584548941,-0.004990652642011151,-0.0007960463737616275,0.0008588161691662766,-0.006630138033097199,0.0031124273963849536,-0.011130146498551263,-0.003645238508572568,10192.07979889,629.9124320453203,620.3243984616988,3.1022506250414126,4.85,1563.57,0.0267305714285714,594.7425577818417,607.2911316225982,591.8712845323691,597.0310531931291,-18.312890204189216,32.00958043277042,41.70664702541078,-38.066443372456774,7.639442869238658,0.7058965319383144,40.953419469503885,-19.185218228198465,-29.39746513375119,-0.23040262156621694,232973.0,493299.0,249797.0,1491844.848,neutral,positive
2016-08-13,-0.002363372285727028,0.07662395279754275,-0.002363372285727472,-0.041370563026557616,-0.015490652625024248,-0.00927179651761123,-0.02453307512377656,0.021110430719307516,0.027207438560699737,0.0005171954554976654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8232.25749268,627.5338445588882,618.7610973850956,3.1173973553104286,4.85,1563.57,0.0267305714285714,593.0222908141569,608.7402539064905,590.6730984853573,596.8386504062763,-17.015516667372026,31.92256001198967,43.62436320732039,-37.02499773243642,5.00712982936656,1.0,38.583524714429345,-18.443187539642746,-28.779269319742262,0.8717888802568297,214569.0,459850.0,227911.0,1683394.341,neutral,positive
2016-08-14,-0.021601627521376066,0.0863557858091557,0.027318291102275793,0.03128468786449923,-0.02308525759451474,-0.014893687094301056,-0.02160162752130168,-0.023331774952815576,0.0010135394686356936,-0.031930209188604675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14450.318680970002,624.5907549917847,616.654165398912,3.1352103168086543,4.85,1563.57,0.0267305714285714,588.7869372902055,610.0667171812742,585.638396213016,596.3711853790688,-17.527042425926084,32.39855703516629,37.986309675720946,-39.73637516336123,0.36402519843941633,0.6625471750820436,35.47124686506849,-19.298373907153668,-31.36914054589551,-3.704165742721255,200174.0,457243.0,207003.0,1639712.94,neutral,positive
2016-08-15,-0.004404571116635503,-0.036802507364871784,-0.004404571116389033,0.001483433868335382,-0.0163263817254532,-0.008192257614090148,-0.0044045711166883494,-0.015868468880561926,0.06568747485561888,0.024565227977933368,0.0,0.028096200333569854,-0.0028442622045882215,0.003207287276316473,0.002501353767417225,0.0033687676564675417,0.0027929092188034854,0.00556669107344665,0.005183595208121394,-8.868439461584554e-05,0.022510841957331662,-0.00048790333630921445,13852.055169119998,621.5916743258939,614.5263454824773,3.149168807963161,5.27,1389.69,0.0387641607142857,584.1605174499,611.3941115726865,581.436883179344,595.8582770655069,-17.726993502180562,32.86452083421922,37.99171579072733,-40.855606143811315,1.0553645384786245,0.6628707457559494,37.858438449926446,-20.00409704104667,-31.367518254149196,0.0023637654922303852,202896.0,501800.0,218318.0,1490218.293,neutral,positive
2016-08-16,0.005917608940985586,-0.09744921447299282,0.0538184474618828,-0.036897548503903366,-0.002736339971272761,-0.004132018733241316,-0.005513272978779238,-0.034643584967930074,0.03838939043954959,0.02393121362513484,0.0,0.01836467253552465,0.001431682885857155,-0.004509069597757542,0.0015322102807511229,0.007610199806243667,-0.005479077019868939,-0.006634364012379823,0.00042466946219210655,-0.008776982759260199,0.07027941525916659,-0.007320721577753986,12917.74949944,618.4248521542335,612.6677358193483,3.1555317413566843,4.0,1885.63,0.0427753571428571,580.5949518966667,612.7533971555105,579.7662045823405,595.4311687209536,-17.21842015276343,33.270895385274336,40.39491088079381,-42.14500124327196,-0.5501538733745899,0.7036545566315547,41.547134136345605,-19.97857209630355,-30.67080791182223,1.0100142245887511,254431.0,539127.0,271553.0,1475140.126,neutral,positive
2016-08-17,-0.0006596049069642618,0.02579589909616886,-0.023371886613426263,-0.039660896206495155,-0.02013218524479199,0.0030011808478209723,-0.0006596049069342858,0.003072758846880852,0.001519096643422202,-0.024717799603659496,0.0,0.004508352858410447,0.0015999980072567421,0.001181538313824948,0.008220219713039878,-0.005775674807922959,0.001868589647994634,0.0002965870259759029,0.010379306997623683,-0.0016546959460211896,-0.0356013252118722,0.0,10379.538440969998,615.2087669194879,610.8812430833069,3.1617246924623164,3.8697362828,1934.9837398374,0.0467865535714286,577.8698114581,614.1738473133944,578.5256812983937,595.0050910508337,-16.937650409589423,33.12532198604918,39.28380131077366,-41.88183337523287,-3.5488669556933963,0.5711631442039953,37.96868518561557,-20.24313227154056,-31.142948832865823,-0.6833426355131067,238003.0,525490.0,263687.0,1327154.548,neutral,positive
2016-08-18,0.0006033183629778893,0.06365617072916585,-0.022666526250223695,-0.04178078169883215,-0.004793073274242277,0.0014798065133008187,0.03510688106507209,0.04248903866655529,-0.00028300641008638383,-0.006042054719125334,0.0,0.030562091840572903,-0.0013866807021278849,0.0012791990457901026,0.0020338330875928623,0.006330528270728886,0.0021996173128933094,0.002197455131993209,0.0029427034595430612,0.0012094798409676422,-0.06234612808535156,-0.0044245637638608,11032.341057650416,612.2245086929626,609.1988494224885,3.170926537037215,4.78,1555.46,0.05079775,575.492900787139,615.6451760872407,577.8145118777718,594.5960159296402,-16.61499157024116,33.00661389595587,38.9517407202932,-42.70631862041921,-1.750720045988826,0.5383563733412884,40.190770117515584,-20.551189521687085,-31.27882622120043,-0.19752752671076124,239541.0,530304.0,263583.0,1672704.547,neutral,positive
2016-08-19,0.015995369257997716,0.07047379549471366,-0.03238536261153979,0.006080951255399203,0.0026663474545089993,0.01108387175694725,0.004706531821782267,0.05318805688261463,0.03708632445114812,0.039284661389985764,0.0,0.0062214688823196695,0.003327238087409423,-0.0024265854458223046,0.004471617822807028,-0.007992841287799868,-0.0014402713809520407,-0.0003377803239003052,-0.002057683945752342,0.006666375954943904,-0.007874028888612994,0.004938053093299866,8588.483425030001,609.2616650256944,608.048260605863,3.1850879251537823,4.67,1598.01,0.0515649107142857,577.5014581898056,617.2237127428455,580.4136008124035,594.3985601659485,-15.075255963664517,32.00695480869505,45.031280028196065,-38.757030797776906,-0.8531102048978771,1.0,44.18460557274039,-19.210081702083432,-29.627952994705776,2.3738766601423045,246095.0,510567.0,263577.0,1677320.286,neutral,positive
2016-08-20,-0.010137684913038791,-0.06418985439963787,-0.010137684912804423,0.0026980121203232788,0.01602640323564697,-0.01774219634079688,-0.021259733397129055,-0.03230514416562724,0.07165904518751609,-0.023077061580842773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6608.377094680417,606.6834438672666,606.6642006245052,3.195237681828721,4.67,1598.01,0.0515649107142857,578.8296929650112,618.7315970928354,580.1674108709449,594.0749661180821,-14.120969067252759,31.448095865213865,43.24047235670221,-35.29324848731221,-1.7252529276290212,0.745803377176075,43.52059842190467,-18.516482599463398,-30.26546764849376,-0.9100487022978498,208224.0,497305.0,246652.0,1678370.055,neutral,positive
2016-08-21,0.012389403105273145,0.0077367714372171825,0.012389403105321328,0.011333196406919654,0.005208692907334056,0.006598023451419133,0.0008849780699355936,-0.023289518590072333,0.037378621183039806,-0.012513269061936172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.79305447,604.201768519557,605.697988819261,3.2063535306194475,4.67,1598.01,0.0515649107142857,580.9160952107444,620.3379347666762,582.3972267862966,593.9163263927836,-12.741796801540659,30.401973051136203,45.81683252791842,-30.321354873209316,-0.45651712288587176,1.0,47.222975053742566,-17.224894402260354,-29.55766363428136,1.0098813537352314,184904.0,448496.0,212268.0,1796938.724,neutral,positive
2016-08-22,-0.005102456726369886,0.03544434428635368,-0.0548473338900799,-0.045230851828438,0.0021022315770287126,0.0030571027363104353,-0.03940926856326166,-0.01963977242717785,0.524834644838424,-0.034051948771186114,0.0,-0.03029680970383597,-0.003376305382359779,-0.001247826594108159,-0.004519249197556419,-0.002014378687720697,-0.0005633231572326203,0.0011874310345663108,-0.00439563753157568,-0.009200032551111126,0.08201060782056269,0.0063882878357586215,11376.79192751,601.8263577708345,604.6328404325328,3.225447032706596,5.25,1445.28,0.0538663928571428,582.4796576429112,621.8678248892414,582.8856334879756,593.6953620081364,-11.24108214732314,29.722113380000387,47.321414714857504,-26.645771552714223,0.35886124691617777,1.0,52.28579780179191,-15.718976941394514,-29.14409999677574,0.5853785993251925,228373.0,528018.0,255094.0,1772218.653,neutral,positive
2016-08-23,0.0020536741551802074,-0.05426341646399069,0.002053674155193086,-0.03423437478466074,-0.01264998587692101,0.07586722906113219,-0.03373395706469473,-0.08059950193361498,0.19524299459694738,0.02107367396431359,0.0,0.02231666852338754,-0.0019706801063151813,0.0009649983351012192,0.0018677759404979177,0.0021679184569449728,0.0019517694055652957,0.0029516035885592817,0.0030224017714395313,0.008567711432960534,0.008964926853777921,0.0007324696613522086,10648.833049050416,599.3681877846193,603.6781413923455,3.24382529869173,4.5516737932,1625.9931972789,0.0546335535714286,584.2135250573444,623.3843973898853,583.6109256948819,593.5056070213354,-10.515712194527964,29.0908151139457,44.520293060450165,-21.656458134135846,-1.7339790719915402,0.6999367824289178,50.61368308985191,-15.11638074952238,-30.01422188465739,-1.2356185611941406,239021.0,515828.0,268956.0,1601821.543,neutral,positive
2016-08-24,-0.0038373811773787514,0.00015178487028277843,0.02237742458087788,-0.06157225787525333,0.003081497553291568,-0.004467454721069353,-0.053030596921810336,-0.009874730382367858,0.0005379884229810283,0.022531629320868385,0.0,-0.027650687286739695,0.0010088797482190603,-0.00354878120952995,-0.0016274394287628668,-0.012084105226631725,-0.005240276852780501,-0.008058838665800372,-0.0005980974566021091,-0.00987369371253155,0.08642969992022964,-0.004391301116442259,9026.592032520415,596.8878171618636,602.66049576746,3.26107215693997,4.82,1555.26,0.0554007142857143,583.6544505374501,624.8487760939792,583.3460858239861,593.2706795281674,-10.03450987234919,28.61852233658317,43.527702473123156,-19.95929458405044,1.5206818829244029,0.5936079748616044,54.206084730601965,-14.8558605857531,-30.32548350008164,-0.4457417645321371,235130.0,518471.0,266856.0,1675800.404,positive,positive
