Date,polarity_score,sentiment_score
2016-09-29,-0.005357142857142852,-1.0
2016-10-01,0.0,0.0
2016-10-02,0.275,1.0
2016-10-03,0.625,1.0
2016-10-04,0.175,1.0
2016-10-05,0.13333333333333333,1.0
2016-10-06,0.17407407407407405,1.0
2016-10-07,0.0,0.0
2016-10-09,0.15,1.0
2016-10-10,0.0,0.0
2016-10-13,-0.5,-1.0
2016-10-16,0.0,0.0
2016-10-17,0.2,1.0
2016-10-18,0.25,1.0
2016-10-19,0.0,0.0
2016-10-20,0.0,0.0
2016-10-22,0.0,0.0
2016-10-23,0.02500000000000001,1.0
2016-10-24,0.8,1.0
2016-10-26,0.25,1.0
2016-10-27,-0.0625,-1.0
2016-10-28,0.0,0.0
2016-10-29,0.05833333333333334,1.0
2016-11-02,0.0,0.0
2016-11-03,0.21944444444444444,1.0
2016-11-04,0.10914502164502163,1.0
2016-11-05,0.17500000000000002,1.0
2016-11-06,0.0,0.0
2016-11-07,0.5,1.0
2016-11-15,0.625,1.0
2016-11-16,0.02321428571428571,1.0
2016-11-17,0.24285714285714285,1.0
2016-11-18,0.0,0.0
2016-11-19,0.0,0.0
2016-11-22,0.0,0.0
2016-11-24,-0.15,-1.0
2016-11-27,0.0,0.0
2016-12-01,0.0,0.0
2016-12-07,-0.21666666666666667,-1.0
2016-12-08,0.0,0.0
2016-12-09,0.0,0.0
2016-12-11,0.3892857142857143,1.0
2016-12-17,-1.0,-1.0
2016-12-18,0.05,1.0
2016-12-21,0.0,0.0
2016-12-22,-0.025,-1.0
2016-12-23,0.07142857142857142,1.0
2016-12-24,0.0,0.0
2016-12-25,-0.1,-1.0
2016-12-30,-0.03333333333333333,-1.0
2016-12-31,-0.05,-1.0
2017-01-05,0.0,0.0
2017-01-07,0.1,1.0
2017-01-08,0.19318181818181818,1.0
2017-01-11,0.1125,1.0
2017-01-12,0.12407407407407407,1.0
2017-01-14,0.35,1.0
2017-01-15,0.0,0.0
2017-01-16,0.25,1.0
2017-01-18,0.0,0.0
2017-01-19,0.0,0.0
2017-01-21,0.0,0.0
2017-01-22,0.0,0.0
2017-01-23,-0.0625,-1.0
2017-01-24,0.04583333333333334,1.0
2017-01-25,0.0,0.0
2017-01-27,0.16542508417508417,1.0
2017-01-28,-0.057499999999999996,-1.0
2017-01-29,0.033333333333333326,1.0
2017-01-30,0.1875,1.0
2017-01-31,0.0,0.0
2017-02-02,0.0,0.0
2017-02-03,0.0,0.0
2017-02-04,0.11249999999999999,1.0
2017-02-05,0.1513888888888889,1.0
2017-02-07,0.0,0.0
2017-02-08,0.0,0.0
2017-02-09,0.0,0.0
2017-02-10,0.0,0.0
2017-02-11,0.3,1.0
2017-02-15,0.5062500000000001,1.0
2017-02-16,0.4833333333333333,1.0
2017-02-17,0.04791666666666666,1.0
2017-02-18,0.04722222222222221,1.0
2017-02-19,0.0,0.0
2017-02-23,1.0,1.0
2017-02-24,0.2642857142857143,1.0
2017-02-25,0.0,0.0
2017-02-27,0.325,1.0
2017-02-28,0.15625,1.0
2017-03-02,0.75,1.0
2017-03-06,0.0,0.0
2017-03-10,0.022222222222222237,1.0
2017-03-11,0.4119047619047619,1.0
2017-03-12,0.3,1.0
2017-03-13,0.5,1.0
2017-03-14,0.0,0.0
2017-03-16,0.4,1.0
2017-03-22,0.0,0.0
2017-03-23,0.0,0.0
2017-03-24,0.0,0.0
2017-03-28,0.0,0.0
2017-03-29,-0.1,-1.0
2017-03-30,-0.1,-1.0
2017-03-31,0.14263392857142856,1.0
2017-04-01,-0.1,-1.0
2017-04-02,0.0,0.0
2017-04-03,0.0,0.0
2017-04-05,0.0,0.0
2017-04-07,0.0,0.0
2017-04-12,0.125,1.0
2017-04-13,0.0,0.0
2017-04-17,0.15,1.0
2017-04-18,-0.25,-1.0
2017-04-23,0.1625,1.0
2017-04-24,0.0,0.0
2017-04-27,0.16666666666666666,1.0
2017-04-28,-0.1875,-1.0
2017-05-01,0.05888888888888888,1.0
2017-05-04,0.85,1.0
2017-05-05,0.0,0.0
2017-05-07,0.475,1.0
2017-05-08,0.25,1.0
2017-05-10,0.060416666666666674,1.0
2017-05-11,0.125,1.0
2017-05-12,-0.018750000000000003,-1.0
2017-05-13,0.0,0.0
2017-05-14,0.0,0.0
2017-05-16,0.0,0.0
2017-05-17,0.0,0.0
2017-05-20,0.08333333333333334,1.0
2017-05-21,0.0,0.0
2017-05-22,0.14393939393939395,1.0
2017-05-23,0.201984126984127,1.0
2017-05-24,0.17045454545454544,1.0
2017-05-25,0.04999999999999999,1.0
2017-05-26,0.0,0.0
2017-05-28,0.15625,1.0
2017-05-29,0.05,1.0
2017-05-31,0.05,1.0
2017-06-01,0.18333333333333335,1.0
2017-06-02,0.3,1.0
2017-06-03,0.125,1.0
2017-06-04,0.26666666666666666,1.0
2017-06-05,0.0,0.0
2017-06-06,0.0,0.0
2017-06-07,0.07291666666666667,1.0
2017-06-08,0.0,0.0
2017-06-09,0.04999999999999999,1.0
2017-06-10,0.06999999999999999,1.0
2017-06-11,-0.05,-1.0
2017-06-12,0.15454545454545454,1.0
2017-06-13,0.2560714285714286,1.0
2017-06-14,0.0,0.0
2017-06-16,0.4,1.0
2017-06-17,0.0,0.0
2017-06-18,0.0,0.0
2017-06-19,0.0,0.0
2017-06-20,0.04166666666666667,1.0
2017-06-21,0.14285714285714285,1.0
2017-06-22,0.0,0.0
2017-06-23,0.016666666666666666,1.0
2017-06-24,0.0,0.0
2017-06-25,0.11481481481481481,1.0
2017-06-26,0.16,1.0
2017-06-29,0.0,0.0
2017-06-30,0.0,0.0
2017-07-02,0.5375,1.0
2017-07-03,0.1,1.0
2017-07-04,0.23552489177489178,1.0
2017-07-06,0.35,1.0
2017-07-07,0.0,0.0
2017-07-08,0.0,0.0
2017-07-09,0.08666666666666667,1.0
2017-07-11,0.125,1.0
2017-07-12,0.4375,1.0
2017-07-13,0.135,1.0
2017-07-14,0.09166666666666667,1.0
2017-07-15,0.0,0.0
2017-07-17,-0.009,-1.0
2017-07-19,0.25,1.0
2017-07-20,0.08333333333333333,1.0
2017-07-21,0.3,1.0
2017-07-22,0.0,0.0
2017-07-25,0.0,0.0
2017-07-26,-0.4,-1.0
2017-07-27,0.0,0.0
2017-07-28,0.0,0.0
2017-07-29,0.3125,1.0
2017-07-30,0.0,0.0
2017-07-31,0.225,1.0
2017-08-01,0.5,1.0
2017-08-02,0.5,1.0
2017-08-03,0.0,0.0
2017-08-04,0.0,0.0
2017-08-05,0.055245535714285726,1.0
2017-08-06,0.0,0.0
2017-08-07,0.012499999999999997,1.0
2017-08-10,0.015625,1.0
2017-08-11,0.16666666666666666,1.0
2017-08-12,0.29,1.0
2017-08-13,0.024999999999999994,1.0
2017-08-14,-0.1,-1.0
2017-08-15,0.15366666666666667,1.0
